d,h,w
0.796429604750478,185.45721,79.09039
0.805504577648822,184.70348,80.42999
0.797281821190809,183.31749,80.57507
0.790530458992005,184.48512,82.13843
0.788007671471943,183.58234,81.35719
0.787478680911558,186.86618,79.92444
0.789625497226038,184.87115,79.65112
0.791849613207496,185.39996,79.69049
0.781990633432944,186.76471,79.22362
0.772957500115923,190.43546,80.92346
0.774541974084118,185.16412,82.88684
0.785569265241555,188.87042,88.74451
0.781371347703505,182.73431,87.1615
0.797163426385493,186.7106,87.315674
1.14653405665206,195.72644,86.17529
1.12452622973672,183.63129,80.744415
0.798218820858744,183.31763,79.82922
0.808116839909789,185.4964,83.01114
0.804517004718105,186.42383,82.8631
0.804593702952374,187.93895,82.710846
0.804517004718105,185.76355,82.9707
0.808719834037389,186.735,82.16824
0.800391268306622,186.79791,82.879425
0.804517004718105,186.29262,82.3678
0.80245416727892,186.01964,82.32437
0.809225975108704,186.87146,82.358154
0.806656797457766,186.60619,83.05902
0.799359849553646,186.29614,83.02359
0.80245416727892,185.02428,82.7251
0.803485585965129,185.16742,82.184265
0.805548423471081,186.21031,82.611755
0.80245416727892,186.135,83.02905
0.803562186432316,186.71242,82.90314
0.809751350557447,187.59381,82.97418
0.808116839909789,185.5202,82.09686
0.816205961698899,193.70648,83.80463
0.804517004718105,184.82213,83.70557
0.80245416727892,185.43993,82.39206
0.807688317588847,186.47937,82.5672
0.808116839909789,185.77,82.08563
0.798864558715141,186.83405,82.94748
0.794697467759673,179.72363,80.45526
0.81798629418762,185.35704,78.854645
0.80913988392759,185.17787,80.23355
0.810155105089581,184.36127,78.611206
0.813200821985345,183.88116,82.127686
0.810155105089581,184.8418,79.67691
0.814216040642139,186.66797,80.51886
0.813285827007138,186.7074,80.312805
0.811170323601281,185.11595,80.632355
0.802700458729062,185.6743,79.828064
0.811170323601281,184.27989,80.647644
0.80913988392759,185.14294,80.00586
0.806094167031826,186.0514,79.9707
0.811170323601281,184.64313,80.881165
0.805078948520127,185.19908,80.18298
0.81531647820613,185.68878,80.38507
0.810155105089581,185.82922,80.35092
0.814301151354152,185.58258,80.69263
0.811170323601281,185.01247,80.56653
0.81218554211298,185.08508,80.39957
0.810155105089581,184.94702,80.23279
0.811170323601281,186.42499,80.932556
0.803048449990968,184.2556,80.501465
0.802700458729062,186.65663,79.81467
0.80913988392759,185.30907,80.640015
0.813285827007138,185.10109,80.091095
0.806094167031826,186.82977,79.83188
0.81218554211298,184.2871,80.65411
0.805744855212294,186.84254,79.8327
0.80913988392759,184.4516,80.46713
0.805000206289613,185.38092,80.34155
0.814301151354152,186.02643,80.18399
0.806094167031826,185.50049,80.8313
0.801954788796252,185.42064,81.015686
0.810155105089581,186.1332,79.63782
0.80913988392759,185.29382,80.6026
0.810155105089581,187.08276,80.56738
0.81218554211298,185.66652,81.22269
0.81218554211298,185.98407,80.30658
0.804730076785683,185.75098,80.12842
0.810155105089581,185.56532,80.36395
0.810155105089581,186.06079,80.38803
0.81218554211298,185.55084,80.03842
0.805078948520127,185.9684,80.39044
0.813200821985345,185.32721,80.75946
0.81218554211298,185.49988,80.41333
0.80913988392759,185.52464,80.6181
0.806094167031826,186.77612,79.52133
0.81023979260217,185.32959,80.04996
0.814301151354152,185.6476,79.70892
0.811255116949183,185.72949,80.68744
